index	Perturbed_Question1	Perturbed_Question2	label	Original_Question1	Original_Question2	original_label
351	 What was word spoken by human?	 Can I drive for with my H1-B work visa or F1 student visa in the US?	0	 Can a F1 student visa holder become a Uber driver in USA?	 Can I drive for Uber with my H1-B work visa or F1 student visa in the US?	1
352	 What is labour?	 What is the first word ever spoken?	0	 What was first word spoken by human?	 What is the first word ever spoken?	1
353	 Is it healthy for dogs to eat bones?	 What is labour?	1	 What is labour?	 What is labour business?	0
354	 Who was started Social between Indian and?	 Is it safe to feed my dog cooked bones?	1	 Is it healthy for dogs to eat bones?	 Is it safe to feed my dog cooked ham bones?	0
355	 Should I give my Main exam offline or online?	 Why do Indians who start edited with watermarks social media?	1	 Who was started Social Media war between Indian and Pakistani?	 Why do Indians who purchase DSLRs start posting heavily edited pics with watermarks on social media?	0
356	 beautiful?	 Which mode is best for JEE MAIN 2017 online exam or offline?	0	 Should I give my JEE Main exam offline or online?	 Which mode is best for JEE MAIN 2017 online exam or offline?	1
357	 Is there a reason why we should travel alone?	  beautiful?	1	 Why are African-Americans so beautiful?	 Why are hispanics so beautiful?	0
358	 having a/?	 What are some to travel alone?	0	 Is there a reason why we should travel alone?	 What are some reasons to travel alone?	1
359	 What are some good baby girl names starting with D?	  have child?	1	 Why are people so obsessed with having a girlfriend/boyfriend?	 How can a single male have a child?	0
360	ar old guy and never had a girlfriend. Is this weird?<SPLT>I am 25 years old. I have never had a girlfriend. Is something wrong with me?	 What are some good baby girl names starting with D or?	1	 What are some good baby girl names starting with D?	 What are some good baby girl names starting with D or H?	0
361	 What are the best things to do in Hong Kong?	 What is the thing in Hong Kong?	0	 What are the best things to do in Hong Kong?	 What is the best thing in Hong Kong?	1
362	 How do I control my emotions?	 How do you control your horniness?	0	 How do I control my horny emotions?	 How do you control your horniness?	1
363	 What causes stool color to to?	 What can cause stool to out little balls?	1	 What causes stool color to change to yellow?	 What can cause stool to come out as little balls?	0
364	 What can one do after?	 What do i do after my MBBS ?	0	 What can one do after MBBS?	 What do i do after my MBBS ?	1
365	 Where can a for laptop Melbourne Airport?	  a airport, was created Melbourne Sydney?	1	 Where can I find a power outlet for my laptop at Melbourne Airport?	 Would a second airport in Sydney, Australia be needed if a high-speed rail link was created between Melbourne and Sydney?	0
366	 How is air traffic controlled?	 How do an air traffic controller?	1	 How is air traffic controlled?	 How do you become an air traffic controller?	0
367	 What is the best self help book you have read? Why? How did it change your life?	 What are the top self help I should?	0	 What is the best self help book you have read? Why? How did it change your life?	 What are the top self help books I should read?	1
368	 Can I enter University of if I the marks in College Foundation?	 University the: If I a second in College of Fine, can I exempted from gen..?	1	 Can I enter University of Melbourne if I couldn't achieve the guaranteed marks in Trinity College Foundation?	 University of the Philippines: If I take a second BFA in the UP College of Fine Arts, can I be exempted from gen. ed. or core subjects?	0
369	 Do need a to go to Jamaica from United States?	  can move to Jamaica?	1	 Do you need a passport to go to Jamaica from the United States?	 How can I move to Jamaica?	0
370	 What is the district Edgware and how does the lifestyle compare to the London Borough of?	 What is the county of Edgware and how does the lifestyle compare to the London Borough of?	1	 What is the district of Edgware and how does the lifestyle compare to the London Borough of Islington?	 What is the county of Edgware and how does the lifestyle compare to the London Borough of Enfield?	0
371	 What will be Hillary Clinton's policy towards India if she becomes president?	 What will be Hilary Clinton's policy towards if she become President?	0	 What will be Hillary Clinton's policy towards India if she becomes president?	 What will be Hilary Clinton's policy towards India if she become President?	1
372	 What is the of SAP ERP key user?	 What is a qualified SAP ERP key user?	1	 What is the responsibility of SAP ERP key user?	 What is a qualified SAP ERP key user?	0
373	 Which is the best book to study TENSOR for general relativity from basic?	 Which is the best book for calculus?	0	 Which is the best book to study TENSOR for general relativity from basic?	 Which is the best book for tensor calculus?	1
374	 How do you Disneyland member?	 How can to Disneyland little?	1	 How do you thank a Disneyland cast member?	 How can I go to Disneyland with little money?	0
375	 What are the coolest hacks and tricks you know?	 What are some cool hacks for Android phones?	0	 What are the coolest Android hacks and tricks you know?	 What are some cool hacks for Android phones?	1
376	 If you a check Donald Knuth, what did you do and why did you get it?	 How can I Donald Knuth?	1	 If you received a check from Donald Knuth, what did you do and why did you get it?	 How can I contact Donald Knuth?	0
377	 Which are the best motivational videos?	 What are some of the best motivational?	0	 Which are the best motivational videos?	 What are some of the best motivational clips?	1
378	 How do I weight fast?	 What is the best way to reduce weight fast?	0	 How do I lose weight fast?	 What is the best way to reduce weight fast?	1
379	 How do I control my horny emotions?	 How do you control your megalomania?	0	 How do I control my horny emotions?	 How do you control your horniness?	1
380	 What causes stool color to change to gook?	 What can cause stool to come out as little balls?	1	 What causes stool color to change to yellow?	 What can cause stool to come out as little balls?	0
381	 What can solo do after MBBS?	 What do i do after my MBBS ?	0	 What can one do after MBBS?	 What do i do after my MBBS ?	1
382	 How is air traffic controlled?	 How do you exists an air traffic controller?	1	 How is air traffic controlled?	 How do you become an air traffic controller?	0
383	 What is the best self help book you have maltese? Why? How did it change your life?	 What are the top self help books I should read?	0	 What is the best self help book you have read? Why? How did it change your life?	 What are the top self help books I should read?	1
384	 Got you need a passport to move to Jamaica from the United States?	 Means can I move to Jamaica?	1	 Do you need a passport to go to Jamaica from the United States?	 How can I move to Jamaica?	0
385	 What is the county of Edgware and how does the lifestyle compare to the London Borough of Islington?	 What is the county of Edgware and how does the lifestyle compare to the London Borough of Islington?	1	 What is the district of Edgware and how does the lifestyle compare to the London Borough of Islington?	 What is the county of Edgware and how does the lifestyle compare to the London Borough of Enfield?	0
386	 What will be Hillary Clinton's policy towards Indie if she becomes president?	 What will be Hilary Clinton's policy towards India if she become President?	0	 What will be Hillary Clinton's policy towards India if she becomes president?	 What will be Hilary Clinton's policy towards India if she become President?	1
