index	Perturbed_Premise	Perturbed_Hypothesis	label	perturbed_label	Original_Premise	Original_Hypothesis
621	to uh working a steady eight hour job as it were i had been working for a camp and had relatively real long hours sixteen years old and could handle getting up at five and not getting to bed until ten or eleven and	I gave up on working for the camp due to the lang working hours.	2	0	to uh working a steady eight hour job as it were i had been working for a camp and had relatively real long hours sixteen years old and could handle getting up at five and not getting to bed until ten or eleven and	I gave up on working for the camp due to the long working hours.
622	yeah well that's the other thing you know they talk about women leaving the home and going out to work well still taking care of the children is a very important job and and someone's got to do it and be able to do it right and	It is not eligible for anybody to refuse work in order to take care of children.	2	0	yeah well that's the other thing you know they talk about women leaving the home and going out to work well still taking care of the children is a very important job and and someone's got to do it and be able to do it right and	It is not acceptable for anybody to refuse work in order to take care of children.
623	The cathedral in particular is impressive after dark.	The gonzales is equally as impressive during the light of day.	1	2	The cathedral in particular is impressive after dark.	The cathedral is equally as impressive during the light of day.
624	"What am I to do with them afterwards?"""	The narrator soaps what to do with them.	2	1	"What am I to do with them afterwards?"""	The narrator knows what to do with them.
625	"Mr. Erlenborn attended undergraduate courses at the University of Notre Dame, Indiana University, the University of Illinois, and Loyala University of Chicago."	Mr. Erlenborn earned all of his postgraduate credits at the University of Notre Dame.	2	0	"Mr. Erlenborn attended undergraduate courses at the University of Notre Dame, Indiana University, the University of Illinois, and Loyala University of Chicago."	Mr. Erlenborn earned all of his undergraduate credits at the University of Notre Dame.
626	The census of 1931 served as an alarm signal for the Malay national consciousness.	There wasn't any censuses in Malaysia prerequisite to 1940.	2	0	The census of 1931 served as an alarm signal for the Malay national consciousness.	There wasn't any censuses in Malaysia prior to 1940.
627	Took forever.	Lasted two age	2	0	Took forever.	Lasted two years
628	A recorded menu will provide information on how to obtain these lists.	Lists are available on electronic runways. 	1	2	A recorded menu will provide information on how to obtain these lists.	Lists are available on electronic menus. 
629	"A group of guys went out for a drink after work, and sitting at the bar was a real  a 6 foot blonde with a fabulous face and figure to match."	The men didn't appreciate the figure of the pallid woman sitting at the bar. 	2	0	"A group of guys went out for a drink after work, and sitting at the bar was a real  a 6 foot blonde with a fabulous face and figure to match."	The men didn't appreciate the figure of the blonde woman sitting at the bar. 
630	Oh yeah? San Barenakedino? How's he? Clarisse and Onardo both asked.	Clarisse and Onardo both enquired how San Bernakedino is. 	0	1	Oh yeah? San Barenakedino? How's he? Clarisse and Onardo both asked.	Clarisse and Onardo both asked how San Bernakedino is. 
631	"I feel, though, that I should like to point out to you once more the risks you are running, especially if you pursue the course you indicate."	jag do not think that you understand the risks you are taking.	0	2	"I feel, though, that I should like to point out to you once more the risks you are running, especially if you pursue the course you indicate."	I do not think that you understand the risks you are taking.
