	Perturbed_Premise	Perturbed_Hypothesis	label	Original_Premise	Original_Hypothesis	true_label	Perturbed_label	attack
276	""" 've been in the for over six weeks , "" says Carney ."	"The quarterlies usually stay in stores for between six to eight weeks , "" Carney added ."	0	""" They 've been in the stores for over six weeks , "" says Carney ."	"The quarterlies usually stay in stores for between six to eight weeks , "" Carney added ."	1	0	deletion
277	There 's also a flaw that results because IE does not implement an appropriate block on a file download dialog box .	The is a of IE not implementing a block on a file download dialog box .	0	There 's also a flaw that results because IE does not implement an appropriate block on a file download dialog box .	The second vulnerability is a result of IE not implementing a block on a file download dialog box .	1	0	deletion
278	Another $ in savings will come from management and pay .	The airline expects to save another $ 100-million a year through management layoffs and pay cuts .	0	Another $ 100-million in savings will come from management layoffs and pay cuts .	The airline expects to save another $ 100-million a year through management layoffs and pay cuts .	1	0	deletion
279	""" We think that the United States of America should support the free speech of all groups , "" Mr. White said , to Mr. Olson 's recommendation ."	We think that the United States of America should support the free speech of all groups , he said .	1	""" We think that the United States of America should support the free speech of all groups , "" Mr. White said , objecting to Mr. Olson 's recommendation ."	We think that the United States of America should support the free speech of all groups , he said .	0	1	deletion
280	Wal-Mart , the nation 's largest private employer , has expanded its policy to protect gay and lesbian employees , company officials said Tuesday .	Wal-Mart Stores Inc . , the nation 's largest private employer , will now include gays and in its anti-discrimination , company officials said Wednesday .	0	Wal-Mart , the nation 's largest private employer , has expanded its antidiscrimination policy to protect gay and lesbian employees , company officials said Tuesday .	Wal-Mart Stores Inc . , the nation 's largest private employer , will now include gays and lesbians in its anti-discrimination policy , company officials said Wednesday .	1	0	deletion
281	Metro , bus and local rail services in France 's four largest towns -- Paris , Lyon , Lille and Marseille -- were , Europe 1 radio .	Subway , bus and suburban rail services in France 's four largest cities -- Paris , Lyon , Lille and Marseille -- were severely disrupted , transport authorities said .	0	Metro , bus and local rail services in France 's four largest towns -- Paris , Lyon , Lille and Marseille -- were severely disrupted , Europe 1 radio reported .	Subway , bus and suburban rail services in France 's four largest cities -- Paris , Lyon , Lille and Marseille -- were severely disrupted , transport authorities said .	1	0	deletion
282	is basically security enhancements to Windows , as the improved Internet Connection Firewall ( ICF ) .	The firewall in the Windows XP known as the Internet Connection Firewall ( ICF ) .	1	SP2 is basically about security enhancements to Windows , such as the improved Internet Connection Firewall ( ICF ) .	The firewall in the current Windows XP was known as the Internet Connection Firewall ( ICF ) .	0	1	deletion
283	A landslide in central Chungchong province derailed a Seoul-bound train and passengers were , television said .	In central Chungchong province , a landslide caused a Seoul-bound Saemaeul Express train to derail , injuring 28 people , local television said .	0	A landslide in central Chungchong province derailed a Seoul-bound train and 28 passengers were injured , television said .	In central Chungchong province , a landslide caused a Seoul-bound Saemaeul Express train to derail , injuring 28 people , local television said .	1	0	deletion
284	They will help draft a plan to attack obesity Kraft will implement over three to four years .	The team will help draft a plan by the end of the year to attack obesity .	1	They will help draft a plan to attack obesity that Kraft will implement over three to four years .	The team will help draft a plan by the end of the year to attack obesity .	0	1	deletion
285	Committee approval , expected today , would set the stage for debate on the Senate floor beginning Monday .	That clear the way for in the full Senate beginning on Monday .	0	Committee approval , expected today , would set the stage for debate on the Senate floor beginning Monday .	That would clear the way for debate in the full Senate beginning on Monday .	1	0	deletion
286	The woman , who is in twenties , donated on Aug. 7 .	The woman -- who has symptoms of illness -- donated blood Aug. .	1	The Calgary woman , who is in her twenties , donated blood on Aug. 7 .	The woman -- who has no symptoms of illness -- donated blood Aug. 7 .	0	1	deletion
287	Quattrone lawyer John W. Keker said his client is innocent .	In a statement Monday , his lawyer John Keker said ``Frank Quattrone is .	0	Quattrone lawyer John W. Keker said his client is innocent .	In a statement Monday , his lawyer John Keker said ``Frank Quattrone is innocent .	1	0	deletion
288	In the weeks leading up to the , several Florida officials received anonymous threatening letters .	Several Florida officials connected to the case have received threatening , by rifle bullets .	1	In the weeks leading up to the execution , several Florida officials received anonymous threatening letters .	Several Florida officials connected to the case have received threatening letters , accompanied by rifle bullets .	0	1	deletion
289	""" The court and the need to know much more of the details of the defendant 's seemingly massive fraud , "" the judge said ."	""" The court the public to the defendants ' seemingly massive fraud , "" he said ."	0	""" The court and the public need to know much more of the details of the defendant 's seemingly massive fraud , "" the judge said ."	""" The court and the public need to know more of the defendants ' seemingly massive fraud , "" he said ."	1	0	deletion
290	The IRS said taxpayers can undelivered checks having refunds deposited directly into their checking or savings accounts .	The IRS said taxpayers can avoid problems lost or stolen by having refunds deposited directly into personal checking or savings accounts .	0	The IRS said taxpayers can avoid undelivered checks by having refunds deposited directly into their checking or savings accounts .	The IRS said taxpayers can avoid problems with lost or stolen refunds by having refunds deposited directly into personal checking or savings accounts .	1	0	deletion
